Tenure Months,Monthly Charges,Total Charges,Gender_Female,Gender_Male,Senior Citizen_No,Senior Citizen_Yes,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,Phone Service_No,Phone Service_Yes,Multiple Lines_No,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Online Security_No,Online Security_No internet service,Online Security_Yes,Online Backup_No,Online Backup_No internet service,Online Backup_Yes,Device Protection_No,Device Protection_No internet service,Device Protection_Yes,Tech Support_No,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,Paperless Billing_No,Paperless Billing_Yes,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Churn Value,total_active_services,protection_services_count,streaming_services_count,contract_length_months,avg_charge_per_tenure
-1.2367242199587352,-0.3626603559551803,-0.9596740712020441,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,-0.176010571085054,0.5706815961898379,-0.9058586275188776,-0.8204436549925227,-0.039552892657391134
-1.2367242199587352,0.19736523310080326,-0.9404697022531111,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,-1.145996840374596,-0.9835761307881314,-0.9058586275188776,-0.8204436549925227,-0.03954895139672917
-0.9924020376385531,1.1595456961969886,-0.6451859741727949,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0.7939756982044881,-0.20644726729914673,1.4401470035219222,-0.8204436549925227,-0.03954410629453178
-0.1779947632379461,1.330710787214099,0.3373492744317471,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1.278968832849259,0.5706815961898379,1.4401470035219222,-0.8204436549925227,-0.03954297825671813
0.6771328748826912,1.2941512532104444,1.2160043388136705,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1.278968832849259,0.5706815961898379,1.4401470035219222,-0.8204436549925227,-0.039544066566447385
-0.9109613101984924,-0.31779183695069496,-0.774164281952812,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,-0.176010571085054,0.5706815961898379,-0.9058586275188776,-0.8204436549925227,-0.03955311731625438
-1.2774445836787656,-0.8346107040023594,-0.9899154337997889,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,-0.661003705729825,-0.20644726729914673,0.26714418800152223,-0.8204436549925227,-0.03955550660986911
-1.2774445836787656,-1.4827115340671475,-0.9985242888458623,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,-1.145996840374596,-0.9835761307881314,-0.9058586275188776,-0.8204436549925227,-0.039559040136243326
0.5956921474426305,1.1495749141959914,1.0892334297634156,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0.7939756982044881,-0.20644726729914673,1.4401470035219222,-0.8204436549925227,-0.039544381123838124
-1.2774445836787656,-1.1486903370337564,-0.9940874173990399,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,-1.145996840374596,-0.20644726729914673,-0.9058586275188776,-0.8204436549925227,-0.039557219011112
-0.62591876415828,-0.0020504069191315333,-0.5248385954261489,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,-0.176010571085054,-0.9835761307881314,1.4401470035219222,-0.8204436549925227,-0.0395510397604573
-1.1145631287986442,0.16412929309748078,-0.8675151742344638,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,-1.145996840374596,-0.9835761307881314,-0.9058586275188776,-0.8204436549925227,-0.03955120648820266
0.06632741908223598,1.3822264942192488,0.559501882595035,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1.278968832849259,0.5706815961898379,1.4401470035219222,-0.8204436549925227,-0.039543775172005434
-0.8702409464784621,1.099721004191008,-0.5194083945509333,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0.7939756982044881,-0.20644726729914673,1.4401470035219222,-0.8204436549925227,-0.03954448167730668
-1.2367242199587352,0.5280628361338618,-0.9437808003477547,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,-0.661003705729825,-0.9835761307881314,0.26714418800152223,-0.8204436549925227,-0.03954963092442951
-0.7073594915983407,1.141265929195161,-0.3776933961001872,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0.7939756982044881,0.5706815961898379,1.4401470035219222,-0.8204436549925227,-0.0395454597577284
-0.9924020376385531,0.5280628361338618,-0.7278309826150992,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.176010571085054,-0.20644726729914673,-0.9058586275188776,-0.8204436549925227,-0.03954834656328282
-0.5851984004382496,1.0199547481830342,-0.2337047769577859,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0.30898256355971704,-0.9835761307881314,1.4401470035219222,-0.8204436549925227,-0.039545048312546426
-0.9516816739185228,0.9850570111795457,-0.6289615935090412,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0.30898256355971704,-0.9835761307881314,1.4401470035219222,-0.8204436549925227,-0.03954543137611926
-1.2774445836787656,0.48485611412954227,-0.9723886878854755,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,-0.661003705729825,-0.9835761307881314,0.26714418800152223,-0.8204436549925227,-0.03954831271258416
-1.0331224013585834,0.34526516611558833,-0.7880488199630175,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.661003705729825,-0.20644726729914673,-0.9058586275188776,-0.8204436549925227,-0.03954982826510752
-0.8295205827584317,0.47156173812821356,-0.5980138633177725,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,-0.176010571085054,-0.20644726729914673,-0.9058586275188776,-0.8204436549925227,-0.0395486878326395
-1.1145631287986442,-1.4527991880641573,-0.957157636650115,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,-1.145996840374596,-0.9835761307881314,-0.9058586275188776,-0.8204436549925227,-0.039558565342255304
